PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_BKR,BULAN
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,1,JANUARI
SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,1,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,ARALLE,1,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,PANETEAN,1,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,RALLE ANAK,1,JANUARI
SULAWESI BARAT,MAMASA,ARALLE,UHAILANU,1,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA,2,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA BARAT,1,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA SATANETEAN,1,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA TIMUR,1,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BALLA TUMUKA,1,JANUARI
SULAWESI BARAT,MAMASA,BALLA,BAMBAPUANG,1,JANUARI
SULAWESI BARAT,MAMASA,BALLA,PIDARA,1,JANUARI
SULAWESI BARAT,MAMASA,BALLA,SEPAKUAN,2,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,BALATANA,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG TIMUR,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,LIMBADEBATA,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,MASOSO,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,MINANGA,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,MOKALLANG,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,RANTELEMO,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,RANTETARIMA,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUASSING,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUBULO,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUDENGEN,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUKADI,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUKEPOPOK,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALURURU,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SALUTABANG,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,SIKAMASE,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI,1,JANUARI
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI BARAT,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,ARALLE TIMUR,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,BUNTUMALANGKA,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KABAE,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KEBANGA,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,PENATANGAN,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALURINDU,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN TIMUR,1,JANUARI
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,TAORA,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,BOMBONG LAMBE,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,BUBUN BATU,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,BUNTU BUDA,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,LAMBANAN,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,LEMBANA SALULO,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,MAMASA,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,MAMBULILING,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,OSANGO,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,PEBASSIAN,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,RAMBUSARATU,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,TAUPE,1,JANUARI
SULAWESI BARAT,MAMASA,MAMASA,TONDOK BAKARU,1,JANUARI
SULAWESI BARAT,MAMASA,MAMBI,BUJUNG MANURUNG,1,JANUARI
SULAWESI BARAT,MAMASA,MAMBI,MAMBI,1,JANUARI
SULAWESI BARAT,MAMASA,MAMBI,RANTEBULAHAN,1,JANUARI
SULAWESI BARAT,MAMASA,MAMBI,SALUDURIAN,1,JANUARI
SULAWESI BARAT,MAMASA,MAMBI,SENDANA,1,JANUARI
SULAWESI BARAT,MAMASA,MAMBI,SONDONGLAYU,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,BOTTENG,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,KONDO,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,LEKO SUKAMAJU,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN BARAT,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,MESAKADA,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,PASSEMBUK,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,SALUAHOK,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,SALUBALO,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,SALUKONTA,1,JANUARI
SULAWESI BARAT,MAMASA,MEHALAAN,ULUMEA,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,MAKUANG,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,MALIMBONG,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,MATANDE,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,MESSAWA,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,PASMA MAMBU,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,RIPPUNG,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,SEPANG,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,SIPAI,1,JANUARI
SULAWESI BARAT,MAMASA,MESSAWA,TANETE BATU,1,JANUARI
SULAWESI BARAT,MAMASA,NOSU,BATUPAPAN,1,JANUARI
SULAWESI BARAT,MAMASA,NOSU,MASEWWE,1,JANUARI
SULAWESI BARAT,MAMASA,NOSU,MINANGA,1,JANUARI
SULAWESI BARAT,MAMASA,NOSU,MINANGA TIMUR,1,JANUARI
SULAWESI BARAT,MAMASA,NOSU,NOSU,1,JANUARI
SULAWESI BARAT,MAMASA,NOSU,PARINDING,1,JANUARI
SULAWESI BARAT,MAMASA,NOSU,SIWI,1,JANUARI
SULAWESI BARAT,MAMASA,PANA,DATUBARINGAN,2,JANUARI
SULAWESI BARAT,MAMASA,PANA,KARAKA,1,JANUARI
SULAWESI BARAT,MAMASA,PANA,MAMULLU,2,JANUARI
SULAWESI BARAT,MAMASA,PANA,MANIPI,2,JANUARI
SULAWESI BARAT,MAMASA,PANA,PANA,1,JANUARI
SULAWESI BARAT,MAMASA,PANA,PANURA,1,JANUARI
SULAWESI BARAT,MAMASA,PANA,SALOAN,2,JANUARI
SULAWESI BARAT,MAMASA,PANA,SAPAN,1,JANUARI
SULAWESI BARAT,MAMASA,PANA,TALLANG BULAWAN,2,JANUARI
SULAWESI BARAT,MAMASA,PANA,WERI,1,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BAMBANG BUDA,1,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BUANGIN,2,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,KIRAK,1,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,LEKO,1,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN,1,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN BARAT,1,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN UTARA,1,JANUARI
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SAMPALE,1,JANUARI
SULAWESI BARAT,MAMASA,SESENAPADANG,LISUAN ADA,1,JANUARI
