NO,PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PA,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,KB MODERN,KB TRADISIONAL,BULAN
211,SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,69,23,28,2,6,6,1,3,0,69,0,JANUARI
212,SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,84,29,17,2,14,12,0,5,3,82,2,JANUARI
213,SULAWESI BARAT,MAJENE,SENDANA,BINANGA,48,27,1,0,12,5,1,2,0,48,0,JANUARI
214,SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,51,32,11,0,5,1,1,1,0,51,0,JANUARI
215,SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,27,20,7,0,0,0,0,0,0,27,0,JANUARI
216,SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,15,6,0,0,4,1,0,4,0,15,0,JANUARI
217,SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,45,5,16,2,17,3,0,2,0,45,0,JANUARI
218,SULAWESI BARAT,MAJENE,SENDANA,SENDANA,53,27,11,1,0,6,1,7,0,53,0,JANUARI
219,SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,52,22,5,2,1,14,1,7,0,52,0,JANUARI
220,SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,133,57,38,2,2,29,0,5,0,133,0,JANUARI
221,SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,91,11,24,2,23,2,0,0,0,62,29,JANUARI
222,SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,72,27,17,1,13,11,0,3,0,72,0,JANUARI
223,SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,97,30,21,7,14,14,4,7,0,97,0,JANUARI
224,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,121,69,31,4,6,6,0,5,0,121,0,JANUARI
225,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,115,71,14,0,5,21,2,2,0,115,0,JANUARI
226,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,149,85,24,2,15,6,2,15,0,149,0,JANUARI
227,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,199,118,52,3,3,4,1,18,0,199,0,JANUARI
228,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,176,90,43,2,9,26,1,5,0,176,0,JANUARI
229,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,166,106,31,0,19,5,0,4,0,165,1,JANUARI
230,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,142,96,21,0,2,8,9,4,0,140,2,JANUARI
231,SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,207,48,32,4,90,3,16,11,0,204,3,JANUARI
232,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,73,13,10,28,7,10,1,4,0,73,0,JANUARI
233,SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,68,13,13,1,25,9,5,2,0,68,0,JANUARI
234,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,65,25,13,2,12,8,2,3,0,65,0,JANUARI
235,SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,61,12,15,7,8,8,6,5,0,61,0,JANUARI
236,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,93,27,29,2,11,14,1,9,0,93,0,JANUARI
237,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,78,36,19,6,11,2,0,4,0,78,0,JANUARI
238,SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,113,93,4,0,16,0,0,0,0,113,0,JANUARI
239,SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,76,54,2,0,17,0,0,0,0,73,3,JANUARI
240,SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,100,72,16,0,2,1,0,7,0,98,2,JANUARI
241,SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,74,24,43,1,3,2,0,1,0,74,0,JANUARI
242,SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,99,83,12,0,0,0,0,4,0,99,0,JANUARI
243,SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,65,61,3,0,0,0,0,1,0,65,0,JANUARI
244,SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,93,43,46,1,3,0,0,0,0,93,0,JANUARI
245,SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,79,37,35,2,1,2,0,0,0,77,2,JANUARI
246,SULAWESI BARAT,POLEWALI MANDAR,ALLU,PETOOSANG,100,49,27,4,10,1,0,8,0,99,1,JANUARI
247,SULAWESI BARAT,POLEWALI MANDAR,ALLU,MOMBI,99,38,27,10,11,0,6,5,1,98,1,JANUARI
248,SULAWESI BARAT,POLEWALI MANDAR,ALLU,KALUMAMMANG,97,34,38,0,9,1,0,7,0,89,8,JANUARI
249,SULAWESI BARAT,POLEWALI MANDAR,ALLU,PAO-PAO,147,56,45,1,44,0,0,1,0,147,0,JANUARI
250,SULAWESI BARAT,POLEWALI MANDAR,ALLU,PUPPU URING,181,70,57,2,15,0,1,1,3,149,32,JANUARI
251,SULAWESI BARAT,POLEWALI MANDAR,ALLU,SARAGIAN,92,46,19,1,16,1,1,5,0,89,3,JANUARI
252,SULAWESI BARAT,POLEWALI MANDAR,ALLU,SAYOANG,32,14,13,0,2,1,0,2,0,32,0,JANUARI
253,SULAWESI BARAT,POLEWALI MANDAR,ALLU,ALU,94,42,30,7,13,0,0,2,0,94,0,JANUARI
254,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,ANREAPI,137,37,33,3,39,9,0,13,1,135,2,JANUARI
255,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,DUAMPANUA,332,87,143,12,64,6,0,14,0,326,6,JANUARI
256,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,KELAPA DUA,265,69,118,3,59,0,2,11,2,264,1,JANUARI
257,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,PAPPANDANGAN,216,83,51,0,66,0,4,7,0,211,5,JANUARI
258,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,KUNYI,216,32,103,3,55,0,0,10,2,205,11,JANUARI
259,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,BALANIPA,147,79,30,8,22,3,0,5,0,147,0,JANUARI
260,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,TAMMAJARRA,140,90,14,21,8,4,0,3,0,140,0,JANUARI
261,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,TAMANGGALLE,108,66,19,0,19,1,0,3,0,108,0,JANUARI
262,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,MOSSO,64,43,16,1,4,0,0,0,0,64,0,JANUARI
263,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,GALUNG TULUK,194,99,42,21,19,1,0,12,0,194,0,JANUARI
264,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,SABANG SUBIK,120,88,14,7,1,2,0,8,0,120,0,JANUARI
265,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,PAMBUSUANG,308,199,55,12,13,6,0,23,0,308,0,JANUARI
266,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,BALA,275,200,36,10,8,3,0,17,1,275,0,JANUARI
267,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,LAMBANAN,15,8,2,1,3,0,0,1,0,15,0,JANUARI
268,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,LEGO,90,64,12,0,4,0,0,10,0,90,0,JANUARI
269,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,PALLIS,15,6,6,0,2,1,0,0,0,15,0,JANUARI
270,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,AMASSANGAN,197,93,60,1,36,0,0,7,0,197,0,JANUARI
271,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,TONYAMAN,422,181,131,4,71,10,0,9,1,407,15,JANUARI
272,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,KUAJANG,209,81,38,2,66,2,0,7,7,203,6,JANUARI
273,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,PAKU,118,69,23,4,10,0,1,8,1,116,2,JANUARI
274,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,MIRRING,188,99,38,5,28,2,0,12,0,184,4,JANUARI
275,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,BATETANGNGA,340,216,67,6,40,2,2,6,0,339,1,JANUARI
276,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,MAMMI,206,69,65,6,58,2,0,5,0,205,1,JANUARI
277,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,KALEOK,136,43,66,0,21,0,0,4,0,134,2,JANUARI
278,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,AMOLA,131,77,23,2,27,0,1,1,0,131,0,JANUARI
279,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,REA,197,86,66,4,21,0,2,13,0,192,5,JANUARI
280,SULAWESI BARAT,POLEWALI MANDAR,BULO,BULO,88,14,3,1,69,1,0,0,0,88,0,JANUARI
281,SULAWESI BARAT,POLEWALI MANDAR,BULO,PULLIWA,265,98,35,0,122,2,0,7,0,264,1,JANUARI
282,SULAWESI BARAT,POLEWALI MANDAR,BULO,PATAMBANUA,135,8,122,0,3,0,0,0,0,133,2,JANUARI
283,SULAWESI BARAT,POLEWALI MANDAR,BULO,KAROMBANG,101,58,11,0,30,1,0,1,0,101,0,JANUARI
284,SULAWESI BARAT,POLEWALI MANDAR,BULO,DAALA TIMUR,106,38,61,0,7,0,0,0,0,106,0,JANUARI
285,SULAWESI BARAT,POLEWALI MANDAR,BULO,LENGGO,29,12,15,0,1,1,0,0,0,29,0,JANUARI
286,SULAWESI BARAT,POLEWALI MANDAR,BULO,SABURA,42,17,20,0,5,0,0,0,0,42,0,JANUARI
287,SULAWESI BARAT,POLEWALI MANDAR,BULO,SEPPORRAKI,79,31,12,0,34,0,0,2,0,79,0,JANUARI
288,SULAWESI BARAT,POLEWALI MANDAR,BULO,IHING,93,21,13,0,55,0,0,0,0,89,4,JANUARI
289,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,PAPPANG,110,66,13,8,7,3,0,5,5,107,3,JANUARI
290,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LALIKO,133,94,18,3,2,1,0,15,0,133,0,JANUARI
291,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,BONDE,119,89,15,1,6,3,0,5,0,119,0,JANUARI
292,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,KATUMBANGAN LEMO,87,65,13,0,4,4,0,1,0,87,0,JANUARI
293,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,PANYAMPA,120,72,26,2,6,2,0,3,8,119,1,JANUARI
294,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,SURUANG,78,46,12,3,6,0,0,5,0,72,6,JANUARI
295,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LAMPOKO,101,72,18,0,3,2,0,6,0,101,0,JANUARI
296,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,KATUMBANGAN,175,96,20,3,25,22,0,9,0,175,0,JANUARI
297,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LAPEO,95,60,10,5,9,3,0,7,0,94,1,JANUARI
298,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,PARAPPE,96,65,16,1,8,1,0,5,0,96,0,JANUARI
299,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,ONGKO,41,12,5,2,20,2,0,0,0,41,0,JANUARI
300,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,KENJE,84,62,7,3,4,0,0,8,0,84,0,JANUARI
301,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,SUMARRANG,248,135,74,2,37,0,0,0,0,248,0,JANUARI
302,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,BOTTO,194,106,39,0,38,2,0,7,0,192,2,JANUARI
303,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,GATTUNGAN,111,42,18,9,20,15,0,6,0,110,1,JANUARI
304,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,PADANG TIMUR,57,34,4,1,12,2,0,4,0,57,0,JANUARI
305,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,PADANG,63,41,7,3,9,1,0,0,0,61,2,JANUARI
306,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LAGI-AGI,154,129,18,3,4,0,0,0,0,154,0,JANUARI
307,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,LIMBORO,108,42,22,6,17,2,0,8,0,97,11,JANUARI
308,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,LEMBANG LEMBANG,206,97,46,29,22,1,0,11,0,206,0,JANUARI
309,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,TANDASURA,138,72,17,13,24,2,0,8,0,136,2,JANUARI
310,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,SAMASUNDU,134,50,51,4,22,1,0,6,0,134,0,JANUARI
311,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,NAPO,152,92,16,3,30,0,0,11,0,152,0,JANUARI
312,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,TODANG TODANG,27,13,11,3,0,0,0,0,0,27,0,JANUARI
313,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,PENDULANGAN,49,31,15,0,1,0,0,2,0,49,0,JANUARI
314,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,RENGGEANG,89,34,18,3,30,0,0,4,0,89,0,JANUARI
315,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,SALARRI,48,24,11,2,9,0,0,2,0,48,0,JANUARI
316,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,TANGAN BARU,64,26,5,2,26,0,0,5,0,64,0,JANUARI
317,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,PALECE,117,29,42,33,11,0,0,2,0,117,0,JANUARI
318,SULAWESI BARAT,POLEWALI MANDAR,LUYO,BATUPANGA,181,90,30,3,51,0,1,2,0,177,4,JANUARI
319,SULAWESI BARAT,POLEWALI MANDAR,LUYO,MAMBU,136,62,14,0,34,0,1,13,4,128,8,JANUARI
320,SULAWESI BARAT,POLEWALI MANDAR,LUYO,TENGGELANG,179,99,15,6,38,0,1,9,0,168,11,JANUARI
321,SULAWESI BARAT,POLEWALI MANDAR,LUYO,BARU,153,72,16,4,24,2,0,16,0,134,19,JANUARI
322,SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUSSUI,163,86,24,3,41,0,1,5,1,161,2,JANUARI
323,SULAWESI BARAT,POLEWALI MANDAR,LUYO,MAPILI BARAT,90,48,14,1,17,0,0,9,0,89,1,JANUARI
324,SULAWESI BARAT,POLEWALI MANDAR,LUYO,SAMBALI WALI,203,120,26,12,30,1,0,2,0,191,12,JANUARI
325,SULAWESI BARAT,POLEWALI MANDAR,LUYO,BATUPANGA DAALA,269,124,55,5,78,0,1,4,0,267,2,JANUARI
326,SULAWESI BARAT,POLEWALI MANDAR,LUYO,LUYO,182,101,18,0,43,1,4,14,0,181,1,JANUARI
327,SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUSSUI BARAT,89,33,9,4,22,14,1,5,0,88,1,JANUARI
328,SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUCCADI,190,138,22,0,25,1,0,4,0,190,0,JANUARI
329,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,MAPILI,55,29,5,2,15,0,0,4,0,55,0,JANUARI
330,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,UGIBARU,140,47,13,4,23,7,1,24,0,119,21,JANUARI
331,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RUMPA,173,102,32,2,29,4,0,4,0,173,0,JANUARI
332,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,KURMA,229,132,26,0,55,1,0,14,0,228,1,JANUARI
333,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BUKU,193,142,29,1,13,2,0,1,0,188,5,JANUARI
334,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONNE BONNE,116,36,16,8,40,8,0,8,0,116,0,JANUARI
335,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BEROANGIN,183,79,28,0,47,2,0,15,0,171,12,JANUARI
336,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SEGERANG,147,100,27,3,11,1,0,5,0,147,0,JANUARI
337,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONRA,123,67,35,0,19,0,0,2,0,123,0,JANUARI
338,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SATTOKO,64,21,6,0,34,0,0,3,0,64,0,JANUARI
339,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RAPPANG BARAT,287,95,110,4,50,2,0,25,0,286,1,JANUARI
340,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,LANDI KANUSUANG,243,93,33,1,105,0,0,11,0,243,0,JANUARI
341,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,MATAKALI,198,97,46,8,31,10,0,5,0,197,1,JANUARI
342,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,PETAMPANUA,226,120,67,2,20,14,2,1,0,226,0,JANUARI
343,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,BARUMBUNG,161,62,61,2,27,6,1,2,0,161,0,JANUARI
344,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,PASIANG,309,116,53,7,108,4,0,17,0,305,4,JANUARI
345,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,TONROLIMA,214,111,39,2,36,3,1,10,3,205,9,JANUARI
346,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,INDOMAKKOMBONG,319,163,82,1,50,4,0,9,3,312,7,JANUARI
347,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,BUNGA-BUNGA,114,45,41,5,17,1,0,5,0,114,0,JANUARI
348,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,MATANGNGA,28,9,3,3,12,0,0,1,0,28,0,JANUARI
349,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,LILLI,85,39,5,1,39,0,0,1,0,85,0,JANUARI
350,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,RANGOAN,16,7,8,0,1,0,0,0,0,16,0,JANUARI
351,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,TAPUA,126,56,30,5,35,0,0,0,0,126,0,JANUARI
352,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,MAMBU TAPUA,82,31,11,0,37,0,0,3,0,82,0,JANUARI
353,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,BA'BA TAPUA,46,20,7,0,19,0,0,0,0,46,0,JANUARI
354,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,KATIMBANG,66,37,16,0,12,0,0,0,0,65,1,JANUARI
355,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,POLEWALI,357,110,112,20,49,19,0,35,0,345,12,JANUARI
356,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,WATTANG,138,52,44,4,15,11,0,12,0,138,0,JANUARI
357,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,SULEWATANG,265,87,92,0,68,6,0,12,0,265,0,JANUARI
358,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,LANTORA,261,88,92,5,36,24,0,16,0,261,0,JANUARI
359,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,TAKATIDUNG,354,202,63,2,42,13,0,14,0,336,18,JANUARI
360,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,PEKKABATA,182,108,24,5,22,15,0,7,0,181,1,JANUARI
361,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MADATE,343,166,69,18,56,13,0,21,0,343,0,JANUARI
362,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MANDING,205,106,26,10,33,13,0,16,0,204,1,JANUARI
363,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,DARMA,375,153,84,9,95,11,0,23,0,375,0,JANUARI
364,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,PELITAKAN,162,93,27,1,9,1,0,11,0,142,20,JANUARI
365,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TAPANGO,194,114,39,0,36,3,0,2,0,194,0,JANUARI
366,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,RAPPANG,190,101,35,2,42,1,0,8,0,189,1,JANUARI
367,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,DAKKA,130,64,28,1,28,2,0,4,0,127,3,JANUARI
368,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BATU,125,68,18,0,31,0,0,6,0,123,2,JANUARI
369,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,RISO,149,83,21,0,40,3,0,0,0,147,2,JANUARI
370,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,PALATTA,159,71,38,1,34,1,0,1,1,147,12,JANUARI
371,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TAPANGO BARAT,132,75,31,0,15,2,0,9,0,132,0,JANUARI
372,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,KURRAK,67,33,30,0,2,1,0,1,0,67,0,JANUARI
373,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BUSSU,130,82,23,1,22,0,0,2,0,130,0,JANUARI
374,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TUTTULA,91,62,10,2,11,0,0,1,0,86,5,JANUARI
375,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,JAMBU MALEA,183,74,71,3,26,0,0,9,0,183,0,JANUARI
376,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,KALIMBUA,179,115,37,1,20,2,0,4,0,179,0,JANUARI
377,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BANATO REJO,311,198,78,0,22,5,1,2,0,306,5,JANUARI
378,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TINAMBUNG,76,30,22,1,12,2,1,8,0,76,0,JANUARI
379,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,KARAMA,422,322,57,12,25,1,0,5,0,422,0,JANUARI
380,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANGNGA TANGNGA,172,126,29,2,6,1,0,8,0,172,0,JANUARI
381,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,LEKOPADIS,61,22,14,2,17,0,0,5,0,60,1,JANUARI
382,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,GALUNG LOMBOK,78,29,13,1,21,1,0,13,0,78,0,JANUARI
383,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANDUNG,99,47,16,7,17,4,0,7,0,98,1,JANUARI
384,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,BATULAYA,79,30,22,7,10,3,0,6,0,78,1,JANUARI
385,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,SEPABATU,77,32,13,2,14,2,0,14,0,77,0,JANUARI
386,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TARAMANU,127,65,20,2,25,0,13,2,0,127,0,JANUARI
387,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,AMBOPADANG,242,103,46,1,90,1,0,1,0,242,0,JANUARI
388,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TUBBI,94,26,58,0,3,2,0,5,0,94,0,JANUARI
389,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,RATTE,141,49,54,0,35,1,1,0,1,141,0,JANUARI
390,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,BESOANGIN,112,63,9,0,40,0,0,0,0,112,0,JANUARI
391,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PIRIANG TAPIKO,67,20,42,0,4,1,0,0,0,67,0,JANUARI
392,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PEBURRU,145,74,49,0,19,1,0,2,0,145,0,JANUARI
393,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TALOBA,70,25,27,0,11,1,0,2,0,66,4,JANUARI
394,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,POLLEWANI,200,111,58,0,28,0,0,3,0,200,0,JANUARI
395,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,ARABUA,108,59,23,0,8,0,16,2,0,108,0,JANUARI
396,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,BESOANGIN UTARA,72,44,13,0,15,0,0,0,0,72,0,JANUARI
397,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PODA,104,47,45,0,8,0,1,3,0,104,0,JANUARI
398,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TARAMANU TUA,132,26,43,0,55,1,0,3,0,128,4,JANUARI
399,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDODADI,231,136,29,5,33,20,0,8,0,231,0,JANUARI
400,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDOREJO,234,150,45,5,10,10,0,11,0,231,3,JANUARI
401,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUMBEREJO,420,190,87,24,78,25,0,6,1,411,9,JANUARI
402,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIAYU,348,139,65,8,32,53,1,16,0,314,34,JANUARI
403,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,KEBUNSARI,287,110,54,11,40,42,1,10,0,268,19,JANUARI
404,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BANUA BARU,163,86,27,5,16,12,0,8,0,154,9,JANUARI
405,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,NEPO,202,120,35,3,30,7,2,2,0,199,3,JANUARI
406,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUGIHWARAS,462,216,129,9,59,20,0,16,0,449,13,JANUARI
407,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,CAMPURJO,245,115,64,11,26,12,0,13,0,241,4,JANUARI
408,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIMULYO,193,114,41,0,28,6,0,2,0,191,2,JANUARI
409,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,TUMPILING,209,106,55,2,22,2,0,8,0,195,14,JANUARI
410,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BAKKA-BAKKA,159,83,41,2,19,2,0,7,0,154,5,JANUARI
411,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,ARJO SARI,273,146,86,4,11,12,0,8,0,267,6,JANUARI
412,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,GALESON,176,124,18,2,17,3,0,6,0,170,6,JANUARI
413,SULAWESI BARAT,MAMASA,MAMASA,MAMASA,288,79,44,4,129,30,0,2,0,288,0,JANUARI
414,SULAWESI BARAT,MAMASA,MAMASA,RAMBUSARATU,242,87,77,10,51,11,0,6,0,242,0,JANUARI
415,SULAWESI BARAT,MAMASA,MAMASA,OSANGO,345,75,65,5,133,52,0,15,0,345,0,JANUARI
416,SULAWESI BARAT,MAMASA,MAMASA,LAMBANAN,205,55,57,1,79,6,0,7,0,205,0,JANUARI
417,SULAWESI BARAT,MAMASA,MAMASA,LEMBANA SALULO,74,16,12,2,35,1,0,8,0,74,0,JANUARI
